ID,Time,Total_Cost,Drinks,Food,Drink1,Drink2,Drink3,Drink4,Food1,Food2,Food3,Donut1,Donut2,Donut3,Donut4,Donut5,Donut6
26,10:06,6.08,1,0,Cold Brew,Espresso Shot,,,,,,,,,,,
27,10:19,4.74,2,1,Hot Coffee,Ice Coffee,,,Bagel,,,,,,,,
28,10:20,3.15,1,0,Decaf Americano,,,,,,,,,,,,
29,9:28,18.31,0,4,,,,,Bacon Egg and Cheese,Bacon Egg and Cheese,Bacon Egg and Cheese,10 Munkins,,,,,
30,9:44,5.93,1,1,Latte,,,,,,,Chocolate Frosted,,,,,
31,9:48,29.92,20,0,Box O Joe,,,,,,,,,,,,
32,9:05,5.71,1,3,Ice Coffee,,,,Sausage Egg and Cheese Wrap,Sausage Egg and Cheese Wrap,Hash Browns,,,,,,
33,9:21,8.73,1,2,Matcha Latte,,,,Bacon Egg and Cheese Wrap,Hash Browns,,,,,,,
34,9:22,5.11,1,0,Latte,,,,,,,,,,,,
35,8:28,11.54,2,3,Hot Coffee,Cold Brew Cold Foam,,,Bagel,,,Vanilla Frosted,,,,,
36,8:29,4.61,1,0,Ice Coffee,,,,,,,,,,,,
37,8:31,6.3,1,2,Latte,,,,Egg and Cheese Wrap,Egg and Cheese Wrap,,,,,,,
38,8:35,4.34,1,0,Americano,,,,,,,,,,,,
39,8:35,3.18,1,2,Caramel Craze,,,,,,,Strawberry Frosted,Vanilla Crème,,,,
40,8:11,2.89,1,0,Hot Coffee,,,,,,,,,,,,
41,8:14,6.22,0,3,,,,,Bagel with Cream Cheese,Bagel,,Strawberry Frosted,,,,,
42,7:28,3.69,1,0,Ice Coffee,,,,,,,,,,,,
43,8:43,4.86,1,1,Cold Foam Cold Brew,,,,,,,Jelly,,,,,
44,16:49,5.75,1,0,Latte,,,,,,,,,,,,
45,17:50,2.82,1,0,Hot Coffee,,,,,,,,,,,,
46,8:20,3.64,1,1,Ice Coffee,,,,Avocado Toast,,,,,,,,
47,18:12,7.6,2,2,Latte,Latte,,,Hash Browns,Bacon and Cheese Rollups,,,,,,,
48,17:10,3.18,0,2,,,,,,,,Glazed Blueberry,Jelly,,,,
49,7:45,10.31,1,2,Matcha Latte,,,,Hash Browns,Bacon Egg and Cheese,,,,,,,
50,7:47,11.96,1,4,Cold Foam Cold Brew,,,,,,,,,,,,
51,7:36,3.36,1,0,Hot Coffee,,,,,,,Strawberry Frosted,Strawberry Frosted,Old Fashioned,Glazed Blueberry,,
52,7:38,3.91,1,0,Ice Coffee,,,,,,,,,,,,
53,14:52,3.27,1,0,Cold Foam Cold Brew,,,,,,,,,,,,
54,7:48,6.99,2,0,Latte,Water,,,,,,,,,,,
55,7:59,8.83,1,0,Capuccino,,,,Bagel Twist,,,,,,,,
56,6:56,5.97,2,0,Hot Coffee,Hot Coffee,,,,,,,,,,,
57,7:28,5.97,2,0,Hot Coffee,Hot Coffee,,,,,,,,,,,
58,7:25,6.53,0,2,,,,,Bacon Egg and Cheese,Bacon Egg and Cheese,,,,,,,
59,14:45,3.04,1,1,Ice Coffee,,,,Bagel with Cream Cheese,,,,,,,,
60,13:39,6.51,0,2,,,,,Avocado Toast,Avocado Toast,,,,,,,
61,13:31,8.91,2,0,Cold Brew,Cold Brew Cold Foam,,,,,,,,,,,
62,14:43,2.71,1,0,Ice Tea,,,,,,,,,,,,
63,15:02,0.82,1,0,Matcha Latte,,,,,,,,,,,,
64,15:02,3.27,1,0,Cold Foam Cold Brew,,,,,,,,,,,,
65,8:21,8.57,1,2,Ice Coffee,,,,,,,Jelly,Jelly,,,,
